MessageText	JudgedDomain	JudgedConstraints	JudgedIntent
attachments that are added to an files	FILES	<attachment> attachments </attachment> that are added to an  files 	search_email
files from lijah to leah with vsd attachments	FILES	 files  from <contact_name_from> lijah </contact_name_from> to <contact_name_to> leah </contact_name_to> with <attachment_type> vsd </attachment_type> <attachment> attachments </attachment>	search_email
message from lucy with radio station list attachment	FILES	message from <contact_name_from> lucy </contact_name_from> with <keyword> radio station list </keyword> <attachment> attachment </attachment>	search_email
give me file with ppts attachments	FILES	give me  file  with <attachment_type> ppts </attachment_type> <attachment> attachments </attachment>	search_email
riley work schedule attachment	FILES	<contact_name> riley </contact_name> <keyword> work schedule </keyword> <attachment> attachment </attachment>	search_email
locate and open attachments from my file last august	FILES	locate and open <attachment> attachments </attachment> from my  file  <start_date> last august </start_date>	search_email
files sent from ana mendes with attachments from three weeks ago	FILES	 files  sent from <contact_name_from> ana mendes </contact_name_from> with <attachment> attachments </attachment> from <start_date> three weeks ago </start_date>	search_email
files with vssx attachment from jack	FILES	 files  with <attachment_type> vssx </attachment_type> <attachment> attachment </attachment> from <contact_name_from> jack </contact_name_from>	search_email
file with attachment from april	FILES	 file  with <attachment> attachment </attachment> from <start_date> april </start_date>	search_email
file that has powerpoints attachments	FILES	 file  that has <attachment_type> powerpoints </attachment_type> <attachment> attachments </attachment>	search_email
files attachments to lucille	FILES	 files  <attachment> attachments </attachment> to <contact_name_to> lucille </contact_name_to>	search_email
file from mark to ned with attachments	FILES	 file  from <contact_name_from> mark </contact_name_from> to <contact_name_to> ned </contact_name_to> with <attachment> attachments </attachment>	search_email
karas files containing thank you note attachment	FILES	<contact_name> kara </contact_name> s  files  containing <keyword> thank you note </keyword> <attachment> attachment </attachment>	search_email
file messages from danny powers but only if they have attachments	FILES	 file  messages from <contact_name_from> danny powers </contact_name_from> but only if they have <attachment> attachments </attachment>	search_email
files with flooring attachment	FILES	 files  with <keyword> flooring </keyword> <attachment> attachment </attachment>	search_email
file with attachments about contract	FILES	 file  with <attachment> attachments </attachment> about <keyword> contract </keyword>	search_email
attachment vsdx files	FILES	<attachment> attachment </attachment> <attachment_type> vsdx </attachment_type>  files 	search_email
file from robert with attachments	FILES	 file  from <contact_name_from> robert </contact_name_from> with <attachment> attachments </attachment>	search_email
file with attachments from linda about work schedule	FILES	 file  with <attachment> attachments </attachment> from <contact_name_from> linda </contact_name_from> about <keyword> work schedule </keyword>	search_email
file with attachment on ice chests	FILES	 file  with <attachment> attachment </attachment> on <keyword> ice chests </keyword>	search_email
could you show me files that have an xls attachment	FILES	could you show me  files  that have an <attachment_type> xls </attachment_type> <attachment> attachment </attachment>	search_email
files work photo documents with attachment	FILES	 files  <keyword> work photo documents </keyword> with <attachment> attachment </attachment>	search_email
bring up all files that have an attachment	FILES	bring up all  files  that have an <attachment> attachment </attachment>	search_email
tax form file with vstm attachment	FILES	<keyword> tax form </keyword>  file  with <attachment_type> vstm </attachment_type> <attachment> attachment </attachment>	search_email
i need to view file about accidents with attachment	FILES	i need to view  file  about <keyword> accidents </keyword> with <attachment> attachment </attachment>	search_email
file from john with tsv attachments	FILES	 file  from <contact_name_from> john </contact_name_from> with <attachment_type> tsv </attachment_type> <attachment> attachments </attachment>	search_email
files from doctor sofia with attachment about health between january and march	FILES	 files  from <contact_name_from> doctor sofia </contact_name_from> with <attachment> attachment </attachment> about <keyword> health </keyword> between <start_date> january </start_date> and <end_date> march </end_date>	search_email
could you show me file from amy containing an attachment	FILES	could you show me  file  from <contact_name_from> amy </contact_name_from> containing an <attachment> attachment </attachment>	search_email
file from anna to bates about engagement with docs attachments from june 2015	FILES	 file  from <contact_name_from> anna </contact_name_from> to <contact_name_to> bates </contact_name_to> about <keyword> engagement </keyword> with <attachment_type> docs </attachment_type> <attachment> attachments </attachment> from <start_date> june 2015 </start_date>	search_email
files attachment from colin	FILES	 files  <attachment> attachment </attachment> from <contact_name_from> colin </contact_name_from>	search_email
mortgage service files from mary with attachments	FILES	<keyword> mortgage service </keyword>  files  from <contact_name_from> mary </contact_name_from> with <attachment> attachments </attachment>	search_email
